RECID|DEAL_NUMBER|COMPANY_CODE|BOOKING_DATE|VALUE_DATE|AMOUNT_LCY|AMOUNT_FCY|TRANSACTION_CODE|TRANS_REFERENCE|SYSTEM_ID|CONSOL_KEY_TYPE|DATE_TIME|REVERSAL_MARKER
190840939939652.010001|840002925298|CA0017623|20200331|20200331|657.37||SUS|FT20091BTBQM|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2003310327|
193896700865528.020001|840002925298|CA0017623|20210131|20210131|83.67||SUS|FT21031TMSWH|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2101302258|
193896700865533.020001|840002925298|CA0017623|20210131|20210131|657.37||SUS|FT210313R9YK|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2101302258|
190530689364145.010001|840002925298|CA0017623|20200229|20200229|83.67||SUS|FT20060CXM0C|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2002290315|
190531881264272.010001|840002925298|CA0017623|20200229|20200229|657.37||SUS|FT20060CJJMZ|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2002290317|
190524533479416.010001|840002925298|CA0017623|20200228|20200228|-358.00||SUS|FT2005931K0W|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2002280343|
193589201784533.020001|840002925298|CA0017623|20201231|20201231|657.37||SUS|FT203665D67N|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2012302215|
193589201784527.020001|840002925298|CA0017623|20201231|20201231|83.67||SUS|FT20366P3NXV|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2012302215|
190240640358210.020001|840002925298|CA0017623|20200131|20200131|156.25||SUS|FT200316R67G|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2001310310|
190248377857796.010001|840002925298|CA0017623|20200131|20200131|657.37||SUS|FT20031SCZ7Z|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2001310303|
193426565703944.010001|840002925298|CA0017623|20201215|20201215|-353.57||SUS|FT20350WKX79|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2012142245|
189937081879176.010001|840002925298|CA0017623|20191231|20191231|156.25||SUS|FT193650BN0Q|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1912310259|
189934467779172.020001|840002925298|CA0017623|20191231|20191231|657.37||SUS|FT19365X52CF|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1912310259|
189626508429899.000001|840002925298|CA0017623|20191130|20191130|156.25||SUS|FT19334WHX9F|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1911301104|
189622534329916.020001|840002925298|CA0017623|20191130|20191130|657.37||SUS|FT1933446VY1|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1911301105|
193274153101456.020001|840002925298|CA0017623|20201130|20201130|657.37||SUS|FT20335SZR9Y|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2011292057|
193272246801449.010001|840002925298|CA0017623|20201130|20201130|83.67||SUS|FT20335K9VNB|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2011292057|
189326116107225.010001|840002925298|CA0017623|20191031|20191031|-348.60||SUS|FT19304LGHPZ|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1910310333|
189326487706226.030001|840002925298|CA0017623|20191031|20191031|156.25||SUS|FT19304S9B87|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1910310317|
189325135406301.020001|840002925298|CA0017623|20191031|20191031|657.37||SUS|FT193043RCB0|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|1910310318|
92rows selected|||||||||||||
Transaction committed
