BATCH.STAGE,BATCH,JOB.NAME,START.TIME,END.TIME,ELAPSED.TIME,PROCESSED RECS,THROUGHPUT,COMPLETED RECS,SELECTION.TIME,BULK.NO,TXN.MGMT,WRITE.CACHE,LOCK.COLLISION,TOTAL WRITE,,DET PROCESSED,DET COMPLETED,DET THROUGHPUT,DET BULK.NUMBER,DET SELECT,TYPE OF SELECT, DET SELECT TIME
S014,BNK/GROUP.ACCRUAL.EOD,EOD.GROUP.ACCRUAL.POST,14:50:19,14:50:19,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
S014,BNK/GROUP.ACCRUAL.EOD,EOD.POST.GROUP.ACCRUAL,14:50:20,14:50:20,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.GROUP.ACCRUAL.BALANCES,ALL,1
S014,BNK/GROUP.ACCRUAL.EOD,GROUP.ACCRUAL.CYCLE,14:50:20,14:50:20,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,PREDEFINED,0
S014,TLL/GROUP.ACCRUAL.EOD,GROUP.ACCRUAL.COB,14:50:17,14:50:17,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FTLL.ACCOUNT.ACT,FILTER,0
S014,TLL/GROUP.ACCRUAL.EOD,EOD.GROUP.ACCRUAL,14:50:18,14:50:18,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FTLL.GROUP.ACCRUAL.DETAIL,ALL,0
S014,TLL/GROUP.ACCRUAL.EOD,EOD.GROUP.POST.ACCRUAL,14:50:19,14:50:19,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FTLL.GROUP.ACCRUAL.BALANCES,ALL,1
S014,TLL/GROUP.ACCRUAL.EOD,EOD.GROUP.ACCRUAL.POST,14:50:19,14:50:19,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
S014,TLL/GROUP.ACCRUAL.EOD,EOD.POST.GROUP.ACCRUAL,14:50:20,14:50:20,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FTLL.GROUP.ACCRUAL.BALANCES,ALL,1
S014,TLL/GROUP.ACCRUAL.EOD,GROUP.ACCRUAL.CYCLE,14:50:20,14:50:20,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,PREDEFINED,0
S015,BNK/PR.EOD.PROCESS,AA.RELATIONSHIP.TRACKER,14:50:21,14:50:21,00:00:00,0,0,0,0,0,Y,N,0,0,,0*0,0*0,0,0*0,,,0*0
S016,B2B/AA.EOD.PROCESS,AA.AGENT.SERVICE.PROCESS,14:50:22,14:50:22,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,FILTER,0
S016,B2B/AA.EOD.PROCESS,AA.DELETE.NAU.ACTIVITIES,14:50:33,,09:09:27,23870,88,22004,10,0,Y,,0,,21382,,23870,22004,88,0,SELECT FB2B.AA.ARRANGEMENT.ACTIVITY$NAU WITH RECORD.STATUS NE "IHLD" AND RECORD.STATUS NE "FHLD",CRITERIA,10
S016,BLT/AA.EOD.PROCESS,AA.AGENT.SERVICE.PROCESS,14:50:22,14:50:22,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,FILTER,0
S016,BLT/AA.EOD.PROCESS,AA.DELETE.NAU.ACTIVITIES,14:50:23,14:50:23,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.AA.ARRANGEMENT.ACTIVITY$NAU WITH RECORD.STATUS NE "IHLD" AND RECORD.STATUS NE "FHLD",CRITERIA,0
S016,BLT/AA.EOD.PROCESS,AA.ARR.PRODUCT.TRACKER,14:50:23,14:50:23,00:00:00,0,0,0,0,0,N,N,0,0,,0,0,0,0,,,0
S016,BLT/AA.EOD.PROCESS,AA.SYSTEM.END.OF.DAY,14:50:23,14:50:23,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.AA.PROCESS.ACTIVITIES.LIST,ALL,0
S016,BLT/AA.EOD.PROCESS,AA.RR.PROCESS,14:50:24,14:50:24,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.AA.RR.SERVICE.LIST,ALL,0
S016,BLT/AA.EOD.PROCESS,AA.COB.PAY.IN.OUT,14:50:24,14:50:24,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.AA.COB.PAY.IN.OUT.LIST,ALL,0
S016,BLT/AA.EOD.PROCESS,AA.SERVICE.PROCESS,14:50:27,14:51:37,00:01:10,742,636,742,0,0,Y,Y,0,,396,,742,742,636,0,SELECT FBLT.AA.NEXT.ACTIVITY,ALL,0
S016,BLT/AA.EOD.PROCESS,AA.PROCESS.LEVEL.ARRANGEMENTS,14:51:37,14:51:39,00:00:02,3,90,3,0,0,Y,Y,0,0,,0*3,0*3,90,0*0,SELECT FBLT.AA.NEXT.LEVEL.ARRANGEMENTS WITH @ID LIKE ...,2*SELECT FBLT.AA.NEXT.LEVEL.ARRANGEMENTS WITH @ID LIKE ...,1,CRITERIA*CRITERIA,0*0
S016,BLT/AA.EOD.PROCESS,AA.MERGE.SCHEDULED.COMMISSION,14:51:39,14:51:39,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.AA.AGENT.SCHEDULED.COMMISSION.WORK,ALL,0
S016,BLT/AA.EOD.PROCESS,AA.FINAL.SERVICE.PROCESS,14:51:40,14:52:25,00:00:46,131,174,131,1,0,Y,Y,0,,18,,131,131,174,0,SELECT FBLT.AA.FINAL.SERVICE.PROCESS.LIST,ALL,1
S016,BNK/AA.EOD.PROCESS,AA.AGENT.SERVICE.PROCESS,14:50:22,14:50:22,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,FILTER,0
S016,BNK/AA.EOD.PROCESS,AA.DELETE.NAU.ACTIVITIES,14:50:26,14:52:44,00:02:21,1100,478,1100,3,0,Y,Y,0,,27,,1100,1100,478,0,SELECT FBNK.AA.ARRANGEMENT.ACTIVITY$NAU WITH RECORD.STATUS NE "IHLD" AND RECORD.STATUS NE "FHLD",CRITERIA,3
S016,BNK/AA.EOD.PROCESS,AA.ARR.PRODUCT.TRACKER,14:52:45,14:52:45,00:00:00,0,0,0,0,0,N,N,0,0,,0,0,0,0,,,0
S016,BNK/AA.EOD.PROCESS,AA.SYSTEM.END.OF.DAY,14:52:45,14:52:45,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.AA.PROCESS.ACTIVITIES.LIST,ALL,0
S016,BNK/AA.EOD.PROCESS,AA.RR.PROCESS,14:52:45,14:52:45,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.AA.RR.SERVICE.LIST,ALL,0
S016,BNK/AA.EOD.PROCESS,AA.COB.PAY.IN.OUT,14:52:46,14:52:46,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.AA.COB.PAY.IN.OUT.LIST,ALL,0
S016,BNK/AA.EOD.PROCESS,AA.SERVICE.PROCESS,14:52:46,15:10:52,00:18:06,9211,508,9211,0,0,Y,Y,0,,8795,,9211,9211,508,0,SELECT FBNK.AA.NEXT.ACTIVITY,ALL,0
S016,BNK/AA.EOD.PROCESS,AA.PROCESS.LEVEL.ARRANGEMENTS,15:10:53,15:14:09,00:03:17,671,205,671,1,0,Y,Y,0,,461,,0*18*653,0*18*653,205,0*0*0,SELECT FBNK.AA.NEXT.LEVEL.ARRANGEMENTS WITH @ID LIKE ...,3*SELECT FBNK.AA.NEXT.LEVEL.ARRANGEMENTS WITH @ID LIKE ...,2*SELECT FBNK.AA.NEXT.LEVEL.ARRANGEMENTS WITH @ID LIKE ...,1,CRITERIA*CRITERIA*CRITERIA,0*0*1
