=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.08.20 12:35:56 =~=~=~=~=~=~=~=~=~=~=~=
tRun LAUR.IO.TEST
Program started 
Time taken for Initialise Variable:   1
Time taken for Opening Connection to reach table:   1025
ud3600t2402
Time taken for Execute host Name:   4
Time for WRITE :   TEST384    3
Time for WRITE :   TEST385    2
Time for WRITE :   TEST386    2
Time for WRITE :   TEST387    2
Time for WRITE :   TEST388    2
Time for WRITE :   TEST389    2
Time for WRITE :   TEST390    2
Time for WRITE :   TEST391    1
Time for WRITE :   TEST392    2
Time for WRITE :   TEST393    2
Time for WRITE :   TEST394    1
Time for WRITE :   TEST395    2
Time for WRITE :   TEST396    2
Time for WRITE :   TEST397    1
Time for WRITE :   TEST398    1
Time for WRITE :   TEST399    2
Time for WRITE :   TEST400    2
Time for WRITE :   TEST401    1
Time for WRITE :   TEST402    2
Time for WRITE :   TEST403    2
Time for WRITE :   TEST404    2
Time for WRITE :   TEST405    2
Time for WRITE :   TEST406    6
Time for WRITE :   TEST407    2
Time for WRITE :   TEST408    2
Time for WRITE :   TEST409    2
Time for WRITE :   TEST410    4
Time for WRITE :   TEST411    3
Time for WRITE :   TEST412    2
Time for WRITE :   TEST413    4
Time for WRITE :   TEST414    2
Time for WRITE :   TEST415    2
Time for WRITE :   TEST416    2
Time for WRITE :   TEST417    2
Time for WRITE :   TEST418    2
Time for WRITE :   TEST419    1
Time for WRITE :   TEST420    2
Time for WRITE :   TEST421    2
Time for WRITE :   TEST422    3
Time for WRITE :   TEST423    2
Time for WRITE :   TEST424    1
Time for WRITE :   TEST425    1
Time for WRITE :   TEST426    1
Time for WRITE :   TEST427    1
Time for WRITE :   TEST428    1
Time for WRITE :   TEST429    2
Time for WRITE :   TEST430    1
Time for WRITE :   TEST431    2
Time for WRITE :   TEST432    1
Time for WRITE :   TEST433    1
Time for WRITE :   TEST434    1
Time for WRITE :   TEST435    1
Time for WRITE :   TEST436    1
Time for WRITE :   TEST437    2
Time for WRITE :   TEST438    1
Time for WRITE :   TEST439    1
Time for WRITE :   TEST440    1
Time for WRITE :   TEST441    1
Time for WRITE :   TEST442    2
Time for WRITE :   TEST443    1
Time for WRITE :   TEST444    1
Time for WRITE :   TEST445    1
Time for WRITE :   TEST446    1
Time for WRITE :   TEST447    1
Time for WRITE :   TEST448    1
Time for WRITE :   TEST449    1
Time for WRITE :   TEST450    1
Time for WRITE :   TEST451    2
Time for WRITE :   TEST452    1
Time for WRITE :   TEST453    1
Time for WRITE :   TEST454    1
Time for WRITE :   TEST455    1
Time for WRITE :   TEST456    2
Time for WRITE :   TEST457    1
Time for WRITE :   TEST458    2
Time for WRITE :   TEST459    3
Time for WRITE :   TEST460    2
Time for WRITE :   TEST461    1
Time for WRITE :   TEST462    2
Time for WRITE :   TEST463    1
Time for WRITE :   TEST464    1
Time for WRITE :   TEST465    1
Time for WRITE :   TEST466    1
Time for WRITE :   TEST467    1
Time for WRITE :   TEST468    1
Time for WRITE :   TEST469    1
Time for WRITE :   TEST470    1
Time for WRITE :   TEST471    1
Time for WRITE :   TEST472    1
Time for WRITE :   TEST473    1
Time for WRITE :   TEST474    1
Time for WRITE :   TEST475    2
Time for WRITE :   TEST476    1
Time for WRITE :   TEST477    2
Time for WRITE :   TEST478    1
Time for WRITE :   TEST479    1
Time for WRITE :   TEST480    1
Time for WRITE :   TEST481    1
Time for WRITE :   TEST482    1
Time for WRITE :   TEST483    1
Time for WRITE :   TEST484    1
Time for WRITE :   TEST485    2
Time for WRITE :   TEST486    2
Time for WRITE :   TEST487    2
Time for WRITE :   TEST488    1
Time for WRITE :   TEST489    2
Time for WRITE :   TEST490    1
Time for WRITE :   TEST491    2
Time for WRITE :   TEST492    1
Time for WRITE :   TEST493    2
Time for WRITE :   TEST494    2
Time for WRITE :   TEST495    1
Time for WRITE :   TEST496    2
Time for WRITE :   TEST497    2
Time for WRITE :   TEST498    1
Time for WRITE :   TEST499    2
Time for WRITE :   TEST500    2
Time for WRITE :   TEST501    1
Time for WRITE :   TEST502    2
Time for WRITE :   TEST503    2
Time for WRITE :   TEST504    2
Time for WRITE :   TEST505    2
Time for WRITE :   TEST506    2
Time for WRITE :   TEST507    2
Time for WRITE :   TEST508    1
Time for WRITE :   TEST509    2
Time for WRITE :   TEST510    2
Time for WRITE :   TEST511    1
Time for WRITE :   TEST512    1
Time for WRITE :   TEST513    2
Time for WRITE :   TEST514    1
Time for WRITE :   TEST515    2
Time for WRITE :   TEST516    1
Time for WRITE :   TEST517    2
Time for WRITE :   TEST518    1
Time for WRITE :   TEST519    2
Time for WRITE :   TEST520    4
Time for WRITE :   TEST521    2
Time for WRITE :   TEST522    1
Time for WRITE :   TEST523    2
Time for WRITE :   TEST524    1
Time for WRITE :   TEST525    2
Time for WRITE :   TEST526    1
Time for WRITE :   TEST527    2
Time for WRITE :   TEST528    1
Time for WRITE :   TEST529    1
Time for WRITE :   TEST530    1
Time for WRITE :   TEST531    1
Time for WRITE :   TEST532    2
Time for WRITE :   TEST533    1
Time for WRITE :   TEST534    1
Time for WRITE :   TEST535    1
Time for WRITE :   TEST536    1
Time for WRITE :   TEST537    1
Time for WRITE :   TEST538    1
Time for WRITE :   TEST539    1
Time for WRITE :   TEST540    2
Time for WRITE :   TEST541    1
Time for WRITE :   TEST542    1
Time for WRITE :   TEST543    2
Time for WRITE :   TEST544    2
Time for WRITE :   TEST545    1
Time for WRITE :   TEST546    2
Time for WRITE :   TEST547    1
Time for WRITE :   TEST548    1
Time for WRITE :   TEST549    1
Time for WRITE :   TEST550    1
Time for WRITE :   TEST551    1
Time for WRITE :   TEST552    1
Time for WRITE :   TEST553    2
Time for WRITE :   TEST554    1
Time for WRITE :   TEST555    3
Time for WRITE :   TEST556    2
Time for WRITE :   TEST557    2
Time for WRITE :   TEST558    1
Time for WRITE :   TEST559    1
Time for WRITE :   TEST560    1
Time for WRITE :   TEST561    1
Time for WRITE :   TEST562    1
Time for WRITE :   TEST563    1
Time for WRITE :   TEST564    1
Time for WRITE :   TEST565    1
Time for WRITE :   TEST566    1
Time for WRITE :   TEST567    1
Time for WRITE :   TEST568    1
Time for WRITE :   TEST569    1
Time for WRITE :   TEST570    1
Time for WRITE :   TEST571    1
Time for WRITE :   TEST572    1
Time for WRITE :   TEST573    1
Time for WRITE :   TEST574    1
Time for WRITE :   TEST575    0
Time for WRITE :   TEST576    0
